Year,Season,NOC,Athlets,Medals,Gold,Silver,Bronze
1960,Summer,SWE,258,0.007683863885839737,0.006472491909385114,0.006802721088435374,0.00974025974025974
1960,Summer,TCH,202,0.024149286498353458,0.012944983818770227,0.023809523809523808,0.03571428571428571
1960,Summer,THA,24,0.0,0.0,0.0,0.0
1960,Summer,TPE,31,0.0010976948408342481,0.0,0.003401360544217687,0.0
1960,Summer,TUN,56,0.0,0.0,0.0,0.0
1960,Summer,TUR,58,0.009879253567508232,0.022653721682847898,0.006802721088435374,0.0
1960,Summer,UAR,123,0.0021953896816684962,0.0,0.003401360544217687,0.003246753246753247
1960,Summer,UGA,16,0.0,0.0,0.0,0.0
1960,Summer,URS,414,0.18551042810098792,0.19741100323624594,0.21428571428571427,0.1461038961038961
1960,Summer,URU,42,0.0,0.0,0.0,0.0
1960,Summer,USA,428,0.13721185510428102,0.2621359223300971,0.0782312925170068,0.06818181818181818
1960,Summer,VEN,54,0.0010976948408342481,0.0,0.0,0.003246753246753247
1960,Summer,VNM,5,0.0,0.0,0.0,0.0
1960,Summer,WIF,20,0.005488474204171241,0.0,0.0,0.016233766233766232
